Keyword,Tweet Text
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@KelRebel @atlantisblauw @ridefelyx Kom je me dan halen op een deelscooter?
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Over een nieuw gemeentehuis in de 'spoorzone' in Raalte, de N35, een toekomst met deelvervoer en meer. Voor het Weekblad, een blik in de toekomst.

Gerlant: Uw heilige koe? U doet hem straks zelf de deur uit https://t.co/8wq88pAIex"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,Ja @Stad_Antwerpen is soms wereldtop op vlak van mobiliteit: de Velo's zijn wereldwijd mogelijk meest gebruikte #deelfiets systeem. En na 12 jaar meer dan ooit geliefd: voorbije maanden waren topmaanden. Ere aan schepen @CampenhoutLudo die initiatief nam! https://t.co/Awxi1qDib3
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"En nog steeds staat deze fiets naast de oprit vanaf station Europapark naar de Helperzoom. Al meer dan een maand, ondanks meerdere meldingen en toezeggingen dat hij opgehaald wordt. Deelfiets= overlast! @gosharingoff https://t.co/eD766Y3KCv"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,Het succesverhaal achter de Antwerpse Velo-deelfiets: “Iemand is er zelfs al mee naar Oostende gefietst... en kreeg een serieuze boete” ⁦@Stad_Antwerpen⁩ ⁦@Koen_Kennis⁩ 🙌🏽🙌🏽👍🏾👍🏾🚲🚲🚲 #Velo #succes  https://t.co/TIIiku998D
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"TW :  Niet iedere schuur is een stadshub: Is de stadshub ook een leerzame, inspirerende en aantrekkelijke werkplek? Draagt de inrichting bij aan het welzijn en de gezondheid van de medewerkers? Het is al lastig genoeg om goed logistiek personeel te… https://t.co/2Np5Xr8xhq"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Dinsdag 28 nov. is er weer een openbare vergadering van onze Wijkraad Entrepot-#Noordereiland.  
📍 in de Wijkhub aan de Stoomtramweg 110.
Start om 19.00 uur. 
Agenda: https://t.co/fFTwbo3SYl https://t.co/SRFUibHOul"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@statistiekcbs Een deel van de huishoudens zonder auto kiest voor autodelen. Van de deelauto's is al 48% elektrisch.
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Gisteren vertelde collega's Colin en Anja meer over de impact van station-based autodelen in een webinar. We bedanken graag alle aanwezigen voor de goede vragen én feedback! Als dank planten we voor elke deelnemer een boom van @treesforall🌲. 

#greenwheels #autodelen #deelauto https://t.co/F9Ejs2cxUa"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@SaskiaG_MD Vooral huishoudens met hogere inkomens hebben uberhaupt een auto. Het % huishoudens met een hoger inkomen en zónder autobezit is overigens gestegen. Huishoudens zonder auto gebruiken soms deelauto's en daarvan is al 48% elektrisch. https://t.co/QkJORlvGLk
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@statistiekcbs In huishoudens zonder bezit van een (stekker)auto wordt deels gebruik gemaakt van deelauto's. Van de deelauto's is al 48% elektrisch.  https://t.co/i3WOtTUPDg
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Dit gaat ook in Nederland gebeuren. Hopelijk vinden we wel een manier om dit te doen met #deelauto's en icm goed #ov. Een toekomst in naar uit te kijken.
https://t.co/0QWQNtsiZX"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Niet iedere schuur is een stadshub https://t.co/37mMBWDMN5
#stadslogistiek  #lutkemeerpolder #fca"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Niet iedere schuur is een stadshub https://t.co/ZePk9zVKLO
#stadslogistiek"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@GerlantZ Met je eigen auto naar een mobiliteit hub en dan vanaf daar een deelauto omdat je anders nergens kan parkeren. 😉🤔
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Inloop spreekuur Toezicht &amp; Handhaving📅

De afdeling Toezicht en Handhaving van de gemeente houdt op maandag 27 november van 10.00 tot 11.00 uur weer een inloopspreekuur in de wijkhub Pendrecht-Zuidwijk.

Dank voor het doorgeven Willeke! Zie: https://t.co/lnWsiykDfJ

#Pendrecht https://t.co/t6sb3gP2ji"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@statistiekcbs Daarnaast ook honderdduizenden rijbewijsbezitters die met enige maat elektrisch rijden in een deelauto of huurauto. Van de deelauto's inmiddels 48% elektrisch  https://t.co/nes4djITLS ook % elektrische huurauto's stijgt. https://t.co/STya1Xll6f
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Met de bus naar het station voor een treinreis en daarna verder per OV-fiets of deelscooter? Via Mobility as a Service (MaaS) kun je dat simpel plannen, boeken én betalen. Wij willen graag weten of jij zo'n service handig vindt. Doe mee aan onze enquête! 
https://t.co/wy3Au1sI1u https://t.co/6vhWDIPXYf"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"@NLRebellion Ik zou zeggen; neem die warmtepomp, regel die deelauto, eet geen vlees, stop met vliegen enz enz. NIEMAND houdt u tegen 🤡maar laat de rest van Nederland met rust. #democratie"
